Year,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Category,Topic,Indicator,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,LowConfidenceLimit,HighConfidenceLimit,Break_Out_Category,Break_Out,CategoryId,TopicId,IndicatorID,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationID,GeoLocation
2009,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,Percent (%),25.9,25.9,,,23.7,28.2,Gender,Male,C2,T15,NS010,AgeStdz,BOC02,GEN01,9002,
2015,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,Percent (%),25.6,25.6,,,18.0,35.1,Race,Other,C2,T15,NS010,AgeStdz,BOC04,RAC07,9002,
2007,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),38.2,38.2,,,28.4,49.1,Race,Other,C2,T15,NS010,Crude,BOC04,RAC07,9003,
2015,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),17.6,17.6,,,13.6,22.6,Race,Non-Hispanic Black,C2,T15,NS010,Crude,BOC04,RAC02,9002,
2008,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),20.4,20.4,,,15.5,26.4,Race,Hispanic,C2,T15,NS010,Crude,BOC04,RAC04,9002,
2002,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),8.9,8.9,,,7.5,10.5,Age,65+,C2,T15,NS010,Crude,BOC03,AGE06,9002,
2007,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Crude,Percent (%),4.2,4.2,,,3.6,4.9,Overall,Overall,C1,T4,NS002,Crude,BOC01,OVR01,9003,
2006,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),24.2,24.2,,,22.5,26.1,Gender,Male,C2,T15,NS010,Crude,BOC02,GEN01,9003,
2006,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),24.6,24.6,,,22.2,27.0,Age,45-64,C2,T15,NS010,Crude,BOC03,AGE05,9002,
2016,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,18-24,C1,T4,NS002,Crude,BOC03,AGE01,9002,
2001,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),16.6,16.6,,,12.4,22.0,Race,Hispanic,C2,T15,NS010,Crude,BOC04,RAC04,9002,
2017,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),7.0,7.0,,,4.9,9.8,Age,75+,C2,T15,NS010,Crude,BOC03,AGE08,9002,
2014,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,Percent (%),21.0,21.0,,,18.1,24.2,Race,Non-Hispanic Black,C2,T15,NS010,AgeStdz,BOC04,RAC02,9002,
2010,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Crude,Percent (%),6.1,6.1,,,5.4,6.9,Race,Non-Hispanic White,C1,T4,NS002,Crude,BOC04,RAC01,9003,
2002,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),26.8,26.8,,,25.4,28.2,Gender,Male,C2,T15,NS010,Crude,BOC02,GEN01,9003,
2008,SOU,South,NHIS,None,None,Healthy People 2020,None,Risk Factors,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,Percent (%),34.4,34.4,,,31.5,37.3,Age,25-44,C2,T14,NS011,Crude,BOC03,AGE04,9003,
2012,SOU,South,NHIS,None,None,Healthy People 2020,None,Risk Factors,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,Percent (%),38.1,38.1,,,34.6,41.8,Race,Hispanic,C2,T14,NS011,Crude,BOC04,RAC04,9003,
2010,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),22.5,22.5,,,20.9,24.1,Race,Non-Hispanic White,C2,T15,NS010,Crude,BOC04,RAC01,9002,
2008,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,Percent (%),2.7,2.7,,,2.1,3.6,Age,25-44,C1,T1,NS001,Crude,BOC03,AGE04,9003,
2007,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),18.1,18.1,,,16.6,19.6,Gender,Female,C2,T15,NS010,Crude,BOC02,GEN02,9003,
2015,SOU,South,NHIS,None,None,None,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Non-Hispanic Asian,C2,T9,NS013,AgeStdz,BOC04,RAC03,9003,
2015,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),10.4,10.4,,,8.9,12.1,Race,Hispanic,C2,T15,NS010,Crude,BOC04,RAC04,9003,
2017,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),7.4,7.4,,,5.0,11.0,Race,Non-Hispanic Asian,C2,T15,NS010,Crude,BOC04,RAC03,9003,
2004,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,Percent (%),7.6,7.6,,,7.0,8.3,Overall,Overall,C1,T1,NS001,Crude,BOC01,OVR01,9002,
2004,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),8.4,8.4,,,7.0,10.1,Age,65+,C2,T15,NS010,Crude,BOC03,AGE06,9002,
2001,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),28.3,28.3,,,24.3,32.7,Age,18-24,C2,T15,NS010,Crude,BOC03,AGE01,9002,
2009,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),29.2,29.2,,,18.3,43.1,Race,Other,C2,T15,NS010,Crude,BOC04,RAC07,9003,
2006,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Crude,Percent (%),5.1,5.1,,,4.2,6.3,Age,45-64,C1,T4,NS002,Crude,BOC03,AGE05,9003,
2006,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),5.5,5.5,,,3.8,7.9,Age,75+,C2,T15,NS010,Crude,BOC03,AGE08,9003,
2008,SOU,South,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),3.6,3.6,,,3.0,4.3,Gender,Female,C1,T6,NS004,Crude,BOC02,GEN02,9003,
2001,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),27.5,27.5,,,26.2,28.8,Age,25-44,C2,T15,NS010,Crude,BOC03,AGE04,9003,
2013,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,Percent (%),23.2,23.2,,,21.5,24.9,Gender,Male,C2,T15,NS010,AgeStdz,BOC02,GEN01,9003,
2003,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,Percent (%),30.3,30.3,,,22.5,39.4,Race,Other,C2,T15,NS010,AgeStdz,BOC04,RAC07,9003,
2003,SOU,South,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Other,C1,T6,NS004,Crude,BOC04,RAC07,9003,
2015,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),15.0,15.0,,,13.8,16.2,Age,35+,C2,T15,NS010,Crude,BOC03,AGE07,9003,
2015,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),3.2,3.2,,,2.5,4.1,Gender,Male,C1,T6,NS004,Crude,BOC02,GEN01,9002,
2005,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (18+); NHIS,Crude,Percent (%),2.5,2.5,,,2.0,3.1,Gender,Female,C1,T3,NS003,Crude,BOC02,GEN02,9002,
2009,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),2.7,2.7,,,2.2,3.4,Race,Non-Hispanic White,C1,T6,NS004,Crude,BOC04,RAC01,9002,
2003,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),15.1,15.1,,,10.1,22.0,Race,Non-Hispanic Asian,C2,T15,NS010,Crude,BOC04,RAC03,9003,
2010,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),22.9,22.9,,,21.2,24.5,Gender,Male,C2,T15,NS010,Crude,BOC02,GEN01,9002,
2016,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Age-Standardized,Percent (%),4.2,4.2,,,2.9,6.1,Race,Non-Hispanic Black,C1,T4,NS002,AgeStdz,BOC04,RAC02,9002,
2014,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,Percent (%),9.8,9.8,,,8.5,11.2,Gender,Male,C1,T1,NS001,Crude,BOC02,GEN01,9002,
2016,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),18.3,18.3,,,16.9,19.9,Race,Non-Hispanic White,C2,T15,NS010,Crude,BOC04,RAC01,9003,
2004,MDW,Midwest,NHIS,None,None,Healthy People 2020,None,Risk Factors,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,Percent (%),27.6,27.6,,,23.7,31.7,Age,18-24,C2,T14,NS011,Crude,BOC03,AGE01,9002,
2011,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),20.3,20.3,,,18.6,22.2,Gender,Female,C2,T15,NS010,Crude,BOC02,GEN02,9002,
2003,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,Percent (%),9.8,9.8,,,8.7,11.1,Age,45-64,C1,T1,NS001,Crude,BOC03,AGE05,9003,
2017,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),13.2,13.2,,,11.9,14.7,Gender,Female,C2,T15,NS010,Crude,BOC02,GEN02,9003,
2010,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,Percent (%),20.5,20.5,,,18.5,22.7,Race,Non-Hispanic Black,C2,T15,NS010,AgeStdz,BOC04,RAC02,9003,
2004,MDW,Midwest,NHIS,None,None,Healthy People 2020,None,Risk Factors,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,Percent (%),28.2,28.2,,,25.8,30.7,Age,25-44,C2,T14,NS011,Crude,BOC03,AGE04,9002,
2001,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,Percent (%),26.6,26.6,,,25.2,28.0,Gender,Male,C2,T15,NS010,AgeStdz,BOC02,GEN01,9003,
2009,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),25.7,25.7,,,23.5,28.1,Gender,Male,C2,T15,NS010,Crude,BOC02,GEN01,9002,
2005,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),8.9,8.9,,,7.5,10.5,Age,65+,C2,T15,NS010,Crude,BOC03,AGE06,9002,
2000,SOU,South,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Age-Standardized,Percent (%),3.3,3.3,,,2.5,4.5,Race,Non-Hispanic Black,C1,T6,NS004,AgeStdz,BOC04,RAC02,9003,
2003,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Crude,Percent (%),7.0,7.0,,,5.5,8.9,Race,Non-Hispanic Black,C1,T1,NS001,Crude,BOC04,RAC02,9002,
2001,MDW,Midwest,NHIS,None,None,Healthy People 2020,None,Risk Factors,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,Percent (%),57.6,57.6,,,51.1,63.8,Race,Hispanic,C2,T14,NS011,AgeStdz,BOC04,RAC04,9002,
2012,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (18+); NHIS,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Other,C1,T3,NS003,AgeStdz,BOC04,RAC07,9002,
2011,MDW,Midwest,NHIS,None,None,Healthy People 2020,None,Risk Factors,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,Percent (%),30.0,30.0,,,27.4,32.6,Gender,Female,C2,T14,NS011,AgeStdz,BOC02,GEN02,9002,
2002,MDW,Midwest,NHIS,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,25-44,C2,T9,NS012,Crude,BOC03,AGE04,9002,
2001,SOU,South,NHIS,None,None,Healthy People 2020,None,Risk Factors,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,Percent (%),55.4,55.4,,,52.6,58.3,Race,Hispanic,C2,T14,NS011,AgeStdz,BOC04,RAC04,9003,
2007,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Age-Standardized,Percent (%),4.1,4.1,,,3.6,4.7,Overall,Overall,C1,T4,NS002,AgeStdz,BOC01,OVR01,9003,
2008,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Age-Standardized,Percent (%),8.1,8.1,,,6.8,9.6,Race,Non-Hispanic Black,C1,T1,NS001,AgeStdz,BOC04,RAC02,9003,
2013,MDW,Midwest,NHIS,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Age,75+,C2,T9,NS012,Crude,BOC03,AGE08,9002,
2011,SOU,South,NHIS,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Gender,Male,C2,T9,NS012,Crude,BOC02,GEN01,9003,
2008,SOU,South,NHIS,None,None,Healthy People 2020,None,Risk Factors,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,Percent (%),48.0,48.0,,,43.6,52.4,Race,Hispanic,C2,T14,NS011,AgeStdz,BOC04,RAC04,9003,
2004,SOU,South,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (18+); NHIS,Crude,Percent (%),4.8,4.8,,,4.2,5.5,Gender,Male,C1,T3,NS003,Crude,BOC02,GEN01,9003,
2008,SOU,South,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Non-Hispanic Asian,C1,T6,NS004,Crude,BOC04,RAC03,9003,
2012,MDW,Midwest,NHIS,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Non-Hispanic White,C2,T9,NS012,Crude,BOC04,RAC01,9002,
2010,MDW,Midwest,NHIS,None,None,None,None,Risk Factors,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Gender,Male,C2,T9,NS013,Crude,BOC02,GEN01,9002,
2005,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Non-Hispanic Asian,C1,T6,NS004,Crude,BOC04,RAC03,9002,
2008,MDW,Midwest,NHIS,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (18+); NHIS,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,Race,Non-Hispanic Asian,C1,T4,NS002,AgeStdz,BOC04,RAC03,9002,
2017,SOU,South,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (18+); NHIS,Crude,Percent (%),2.6,2.6,,,2.2,3.1,Gender,Female,C1,T3,NS003,Crude,BOC02,GEN02,9003,
2004,SOU,South,NHIS,None,None,Healthy People 2020,None,Risk Factors,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,Percent (%),43.2,43.2,,,40.6,45.8,Gender,Male,C2,T14,NS011,AgeStdz,BOC02,GEN01,9003,
2005,MDW,Midwest,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),32.4,32.4,,,21.0,46.3,Race,Other,C2,T15,NS010,Crude,BOC04,RAC07,9002,
2005,SOU,South,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Crude,Percent (%),3.2,3.2,,,2.8,3.7,Race,Non-Hispanic White,C1,T6,NS004,Crude,BOC04,RAC01,9003,
2003,SOU,South,NHIS,None,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,Percent (%),21.6,21.6,,,20.5,22.8,Age,35+,C2,T15,NS010,Crude,BOC03,AGE07,9003,
2006,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Age-Standardized,Percent (%),2.6,2.6,,,2.1,3.2,Race,Non-Hispanic White,C1,T6,NS004,AgeStdz,BOC04,RAC01,9002,
2002,MDW,Midwest,NHIS,None,None,Healthy People 2020,None,Risk Factors,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,Percent (%),39.3,39.3,,,28.5,51.2,Race,Non-Hispanic Asian,C2,T14,NS011,AgeStdz,BOC04,RAC03,9002,
2000,MDW,Midwest,NHIS,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (18+); NHIS,Age-Standardized,Percent (%),1.9,1.9,,,1.5,2.3,Gender,Female,C1,T6,NS004,AgeStdz,BOC02,GEN02,9002,
2002,SOU,South,NHIS,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (18+); NHIS,Age-Standardized,Percent (%),7.9,7.9,,,7.4,8.5,Overall,Overall,C1,T1,NS001,AgeStdz,BOC01,OVR01,9003,
